refno,tag,unit,fluid,seq,spec,pid,strlvl,cnote,insulation
=17384/5361,VO-NG-16101,VO,NG,16101,AA3,VO-00030-161-1,unset,unset,NT
=17384/5366,VO-NI-00101,VO,NI,00101,AA3D,VO-00020-001-1,unset,unset,NT
=17384/5371,VO-NI-00701,VO,NI,00701,AA3D,VO-00020-007-1,unset,unset,NT
=17384/5376,VO-NI-00801,VO,NI,00801,AA3D,VO-00020-008-1,unset,unset,NT
=17384/5381,VO-NI-01101,VO,NI,01101,AA3D,VO-00020-011-1,unset,unset,NT
=17384/5386,VO-NI-01201,VO,NI,01201,AA3D,VO-00020-012-1,unset,unset,NT
=17384/5391,VO-NI-01202,VO,NI,01202,AA3D,VO-00020-012-1,unset,unset,NT
=17384/5396,VO-NI-01203,VO,NI,01203,AA3D,VO-00020-012-1,unset,unset,NT
=17384/5401,VO-NI-01601,VO,NI,01601,AA3D,VO-00020-016-1,unset,unset,NT
=17384/5406,VO-NI-01701,VO,NI,01701,AA3D,VO-00020-017-1,unset,unset,NT
=17384/5411,VO-NI-01702,VO,NI,01702,AA3D,VO-00020-017-1,unset,unset,NT
=17384/5416,VO-NI-01703,VO,NI,01703,DA3,VO-00020-017-1,unset,unset,PP
=17384/5421,VO-NI-01704,VO,NI,01704,DA3,VO-00020-017-1,unset,unset,PP
=17384/5426,VO-NI-02101,VO,NI,02101,AA3D,VO-00020-021-1,unset,unset,NT
=17384/5431,VO-NI-10001,VO,NI,10001,AA3D,VO-00030-100-1,unset,unset,NT
=17384/5436,VO-P-00101,VO,P,00101,AA5,VO-00020-001-1,unset,unset,TE
=17384/5441,VO-P-00102,VO,P,00102,BA5,VO-00020-001-1,unset,unset,TE
=17384/5446,VO-P-00103,VO,P,00103,BA5,VO-00020-001-1,unset,unset,TE
=17384/5451,VO-P-00104,VO,P,00104,BA5,VO-00020-001-1,unset,unset,TE
=17384/5456,VO-P-00105,VO,P,00105,BA5,VO-00020-001-1,unset,unset,TE
=17384/5461,VO-P-00106,VO,P,00106,BA5,VO-00020-001-1,unset,unset,TE
=17384/5466,VO-P-00107,VO,P,00107,BA5,VO-00020-001-1,unset,unset,TE
=17384/5471,VO-P-00108,VO,P,00108,AA3,VO-00020-001-1,unset,unset,NT
=17384/5476,VO-P-00109,VO,P,00109,AA3,VO-00020-001-1,unset,unset,NT
=17384/5481,VO-P-00110,VO,P,00110,AA3,VO-00020-001-1,unset,unset,NT
=17384/5486,VO-P-00111,VO,P,00111,BA5,VO-00020-001-1,unset,unset,TE
=17384/5491,VO-P-00112,VO,P,00112,BA5,VO-00020-001-1,unset,unset,TE
=17384/5496,VO-P-00113,VO,P,00113,BA5,VO-00020-001-1,unset,unset,TE
=17384/5501,VO-P-00114,VO,P,00114,BA5,VO-00020-001-1,unset,unset,TE
=17384/5506,VO-P-00201,VO,P,00201,DA5,VO-00020-002-1,unset,unset,TE
=17384/5511,VO-P-00202,VO,P,00202,DA5,VO-00020-002-1,unset,unset,TE
=17384/5516,VO-P-00203,VO,P,00203,DA5,VO-00020-002-1,unset,unset,TE
=17384/5521,VO-P-00204,VO,P,00204,DA5,VO-00020-002-1,unset,unset,TE
=17384/5526,VO-P-00205,VO,P,00205,AA5,VO-00020-002-1,unset,unset,TE
=17384/5531,VO-P-00206,VO,P,00206,AA5,VO-00020-002-1,unset,unset,TE
=17384/5536,VO-P-00207,VO,P,00207,DA5,VO-00020-002-1,unset,unset,TE
=17384/5541,VO-P-00208,VO,P,00208,DA5,VO-00020-002-1,unset,unset,TE
=17384/5546,VO-P-00209,VO,P,00209,AA5,VO-00020-002-1,unset,unset,TE
=17384/5551,VO-P-00210,VO,P,00210,AA5,VO-00020-002-1,unset,unset,TE
=17384/5561,VO-P-00301,VO,P,00301,AA5,VO-00020-003-1,unset,unset,PP
=17384/5566,VO-P-00302,VO,P,00302,AA5,VO-00020-003-1,unset,unset,PP
=17384/5571,VO-P-00303,VO,P,00303,AA5,VO-00020-003-1,unset,unset,PP
=17384/5576,VO-P-00304,VO,P,00304,DA5,VO-00020-003-1,unset,unset,PP
=17384/5581,VO-P-00305,VO,P,00305,AA5,VO-00020-003-1,unset,unset,PP
=17384/5586,VO-P-00306,VO,P,00306,DA5,VO-00020-003-1,unset,unset,PP
=17384/5591,VO-P-00307,VO,P,00307,DA5,VO-00020-003-1,unset,unset,PP
=17384/5596,VO-P-00308,VO,P,00308,DA5,VO-00020-003-1,unset,unset,PP
=17384/5601,VO-P-00309,VO,P,00309,DA5,VO-00020-003-1,unset,unset,PP
=17384/5606,VO-P-00310,VO,P,00310,DA5,VO-00020-003-1,unset,unset,PP
=17384/5611,VO-P-00311,VO,P,00311,DA5,VO-00020-003-1,unset,unset,PP
=17384/5616,VO-P-00312,VO,P,00312,AA5,VO-00020-003-1,unset,unset,NT
=17384/5621,VO-P-00313,VO,P,00313,AA5,VO-00020-003-1,unset,unset,NT
=17384/5626,VO-P-00314,VO,P,00314,DA5,VO-00020-003-1,unset,unset,PP
=17384/5631,VO-P-00315,VO,P,00315,DA5,VO-00020-003-1,unset,unset,PP
=17384/5636,VO-P-00316,VO,P,00316,DA5,VO-00020-003-1,unset,unset,PP
=17384/5641,VO-P-00317,VO,P,00317,DA5,VO-00020-003-1,unset,unset,PP
=17384/5646,VO-P-00318,VO,P,00318,DA5,VO-00020-003-1,unset,unset,PP
=17384/5651,VO-P-00319,VO,P,00319,AA5,VO-00020-003-1,unset,unset,NT
=17384/5656,VO-P-00401,VO,P,00401,DA5,VO-00020-004-1,unset,unset,TE
=17384/5661,VO-P-00402,VO,P,00402,DA5,VO-00020-004-1,unset,unset,TE
=17384/5666,VO-P-00403,VO,P,00403,DA5,VO-00020-004-1,unset,unset,TE
=17384/5671,VO-P-00404,VO,P,00404,DA5,VO-00020-004-1,unset,unset,TE
=17384/5676,VO-P-00405,VO,P,00405,DA5,VO-00020-004-1,unset,unset,TE
=17384/5681,VO-P-00406,VO,P,00406,DA5,VO-00020-004-1,unset,unset,TE
=17384/5686,VO-P-00407,VO,P,00407,DA3,VO-00020-004-1,unset,unset,NT
=17384/5691,VO-P-00408,VO,P,00408,DA3,VO-00020-004-1,unset,unset,NT
=17384/5696,VO-P-00409,VO,P,00409,DA5,VO-00020-004-1,unset,unset,TE
=17384/5701,VO-P-00501,VO,P,00501,DL3WH,VO-00020-005-1,unset,unset,TL
=17384/5706,VO-P-00502,VO,P,00502,DL3WH,VO-00020-005-1,unset,unset,TL
=17384/5711,VO-P-00503,VO,P,00503,DL3WH,VO-00020-005-1,unset,unset,TL
=17384/5716,VO-P-00504,VO,P,00504,DL3WH,VO-00020-005-1,unset,unset,TL
=17384/5721,VO-P-00505,VO,P,00505,DL3WH,VO-00020-005-1,unset,unset,TL
=17384/5726,VO-P-00506,VO,P,00506,DUA,VO-00020-005-1,unset,unset,TL
=17384/5731,VO-P-00507,VO,P,00507,DUA,VO-00020-005-1,unset,unset,TL
=17384/5736,VO-P-00508,VO,P,00508,DUA,VO-00020-005-1,unset,unset,TL
=17384/5741,VO-P-00509,VO,P,00509,DUA,VO-00020-005-1,unset,unset,TL
=17384/5746,VO-P-00510,VO,P,00510,DUA,VO-00020-005-1,unset,unset,TL
=17384/5751,VO-P-00511,VO,P,00511,DA5W,VO-00020-005-1,unset,unset,TL
=17384/5756,VO-P-00512,VO,P,00512,DD3WH,VO-00020-005-1,unset,unset,TL
=17384/5761,VO-P-00513,VO,P,00513,DD3WH,VO-00020-005-1,unset,unset,TL
=17384/5766,VO-P-00514,VO,P,00514,DD5W,VO-00020-005-1,unset,unset,TL
=17384/5771,VO-P-00515,VO,P,00515,DD6WH,VO-00020-005-1,unset,unset,TL
=17384/5776,VO-P-00516,VO,P,00516,DD6WH,VO-00020-005-1,unset,unset,TL
=17384/5781,VO-P-00517,VO,P,00517,DD5W,VO-00020-005-1,unset,unset,TL
=17384/5786,VO-P-00518,VO,P,00518,EL3WH,VO-00020-005-1,unset,unset,TE
=17384/5791,VO-P-00519,VO,P,00519,BA5H,VO-00020-005-1,unset,unset,TL
=17384/5796,VO-P-00520,VO,P,00520,DA5,VO-00020-005-1,unset,unset,PP
=17384/5801,VO-P-00521,VO,P,00521,DA5,VO-00020-005-1,unset,unset,PP
=17384/5806,VO-P-00522,VO,P,00522,DA5,VO-00020-005-1,unset,unset,PP
=17384/5811,VO-P-00523,VO,P,00523,BA5H,VO-00020-005-1,unset,unset,TL
=17384/5816,VO-P-00601,VO,P,00601,DA5,VO-00020-006-1,unset,unset,TL
=17384/5821,VO-P-00602,VO,P,00602,DA5,VO-00020-006-1,unset,unset,TL
=17384/5826,VO-P-00603,VO,P,00603,DA5,VO-00020-006-1,unset,unset,TL
=17384/5831,VO-P-00604,VO,P,00604,DA5,VO-00020-006-1,unset,unset,TL
=17384/5836,VO-P-00605,VO,P,00605,DA5,VO-00020-006-1,unset,unset,TL
=17384/5841,VO-P-00606,VO,P,00606,DA5,VO-00020-006-1,unset,unset,TL
=17384/5846,VO-P-00607,VO,P,00607,DA5,VO-00020-006-1,unset,unset,TL
=17384/5851,VO-P-00608,VO,P,00608,DA5,VO-00020-006-1,unset,unset,TL
=17384/5856,VO-P-00609,VO,P,00609,DA5,VO-00020-006-1,unset,unset,TL
=17384/5861,VO-P-00610,VO,P,00610,DA5,VO-00020-006-1,unset,unset,TL
=17384/5866,VO-P-00611,VO,P,00611,DA5,VO-00020-006-1,unset,unset,TL
=17384/5871,VO-P-00612,VO,P,00612,DD3WH,VO-00020-006-1,unset,unset,TE
=17384/5876,VO-P-00613,VO,P,00613,EL3WH,VO-00020-006-1,unset,unset,TE
=17384/5881,VO-P-00614,VO,P,00614,BA3,VO-00020-006-1,unset,unset,HC
=17384/5886,VO-P-00615,VO,P,00615,BA3,VO-00020-006-1,unset,unset,HC
=17384/5891,VO-P-00616,VO,P,00616,BA3,VO-00020-006-1,unset,unset,HC
=17384/5896,VO-P-00617,VO,P,00617,BA3,VO-00020-006-1,unset,unset,HC
=17384/5901,VO-P-00618,VO,P,00618,BA3,VO-00020-006-1,unset,unset,HC
=17384/5906,VO-P-00619,VO,P,00619,BA3,VO-00020-006-1,unset,unset,HC
=17384/5911,VO-P-00620,VO,P,00620,DD3WH,VO-00020-006-1,unset,unset,TE
=17384/5916,VO-P-00621,VO,P,00621,BA3,VO-00020-006-1,unset,unset,HC
=17384/5921,VO-P-00622,VO,P,00622,DD3WH,VO-00020-006-1,unset,unset,TE
=17384/5926,VO-P-00701,VO,P,00701,EL3WH,VO-00020-007-1,unset,unset,TE
=17384/5931,VO-P-00801,VO,P,00801,DL3WH,VO-00020-008-1,unset,unset,TE
=17384/5936,VO-P-00802,VO,P,00802,DL3WH,VO-00020-008-1,unset,unset,TE
